veracity,claims
MOSTLY-TRUE,"“Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.”"
BLATANT-LIE,Shocking Evidence of Widespread Fraud in Wisconsin’s Voter Database.
FALSE,At least 50% of people who survive Covid-19 have debilitating health issues in the months afterwards.
BLATANT-LIE,"Modi government has spent Rs 1,000-crore to build the Statue of Equality."
MOSTLY-FALSE,"Says the Biden administration’s Unaccompanied Alien Children process has “no vetting, no transparency.”"
BLATANT-LIE,The Lancet Published Medical Professor’s Warning That Natural Immunity Has Made Vaccine Mandates Irrelevant
BLATANT-LIE,"Says Rep. Marjorie Taylor Greene said, “If it weren’t for electricity, we’d all be watching TV by candlelight.”"
BLATANT-LIE,purportedly shows former President Donald Trump with his pants pulled high above his waist.
FALSE,"“Books banned in Texas include 1984, Maus, and The Handmaid’s Tale, but not Mein Kampf.”"
BLATANT-LIE,Canadian Prime Minister Justin Trudeau posted a message on social media telling vaccinated Canadians to stop talking to their unvaccinated relatives.
MOSTLY-FALSE,“There is absolutely no observed or clinical data that indicates any benefit whatsoever to masking K-12 students in schools.”
BLATANT-LIE, Scientists Lied About Isolating The Virus That Causes COVID-19.
BLATANT-LIE, Dr. Anthony Fauci was charged with murder by a grand jury.
FALSE,COVID-19 boosters are ‘destroying your immune system’
FALSE,Pakistan university sent letter to students warning them against valentines day celebrations.
FALSE,“Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”
FALSE, Queen Elizabeth II is taking ivermectin to treat COVID-19.
BLATANT-LIE,Greenpeace USA had a banner on Trump International Hotel in Las Vegas making fun of Donald Trump’s genitalia.
FALSE, Trump Passed Bill Raising Taxes In 2021 And Every Two Years Until 2027
FALSE,“The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”
BLATANT-LIE,"“The United States directly controls the National Agency on Corruption Prevention, the National Anti-Corruption Bureau, the Specialized Anti-Corruption Prosecutor’s Office and the High Anti-Corruption Court.”"
FALSE, Russia is targeting U.S. biological weapons labs in Ukraine invasion.
BLATANT-LIE," Claims the FDA said Pfizer falsely misled them regarding the safety of its COVID-19 vaccine, adding that it was causing two deaths for every life it saved."
BLATANT-LIE,"Freedom Convoy protesters in Ottawa, Ontario were arrested and released “in the middle of nowhere” because the arrests were “illegal.”"
TRUE, Russian state television has been airing and translating clips from Fox News host Tucker Carlson’s show where he defends Putin.
BLATANT-LIE, allegedly shows an explosion at a Ukrainian power plant caused by a Russian airstrike.
BLATANT-LIE,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”
FALSE,Wearing masks is “COVID theater” and “not doing anything.”
BLATANT-LIE," In March 2022, U.S. Rep. Paul Gosar defended himself from criticism with a tweet in which he indicated he had been called “stupid” for his whole life."
FALSE,Hunter Biden’s payments from the Ukrainian oil and gas company Burisma Holdings ended with the Russian invasion of Ukraine.
BLATANT-LIE, The government is using the Centers for Disease Control and Prevention to collect DNA through COVID-19 test samples
FALSE,"The planned release of 60 million barrels of global oil reserves, including 30 million from the U.S., “will help blunt gas prices here at home.”"
BLATANT-LIE," “Everyone understands that the Third World War can only be nuclear. But I draw your attention to the fact that nuclear war is constantly spinning in the heads of Western politicians, not in the heads of Russians.”"
FALSE,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”
BLATANT-LIE," Hormonal birth control is associated with “PCOS [polycystic ovarian syndrome], hormonal imbalances, depression, and infertility”"
MOSTLY-FALSE,“[Dave] McCormick’s woke Connecticut hedge fund supported Black Lives Matter.”
BLATANT-LIE," allegedly shows a Fox News chyron quoting Republican Texas Sen. Ted Cruz’s wife, Heidi Cruz, as saying, “Ted Does Not Tan His Testicles.”"
TRUE," Students at a Missouri public school were given a math assignment referencing Maya Angelou’s sexual abuse, sex work."
FALSE,Did Finnish Parliament Vote to Join NATO?
FALSE,“David McCormick paid for attacks on Donald Trump.”
BLATANT-LIE, The Russian attack on a Mariupol maternity hospital was staged.
MOSTLY-FALSE,“Congress Just Gave Itself A 21% Raise As Americans Can’t Afford Gas.”
BLATANT-LIE,Marjorie Taylor Greene Refused to Clap for Volodymyr Zelensky.
FALSE,"There were more than 1,200 vaccine-related deaths in the first 90 days of the Pfizer rollout."
BLATANT-LIE,"Virginia Tech swimmer Reka Gyorgy tweeted, “My finals spot was stolen by Lia Thomas, who is a biological male.”"
BLATANT-LIE, A picture of U.S. President Joe Biden in front of the White House in March 2022 was “staged” or digitally altered to add trees.
BLATANT-LIE," Ketanji Brown Jackson has “a weak record — defund police, abolish ICE and now a completely open border policy.”"
FALSE,NPR published an article about the January 6 2021 storming of the US capitol before it happened.
BLATANT-LIE,"A “baby’s immune system” cannot “safely handle 8 different antigens 💉 (toxins, bacteria, DNA) in 1 day”"
FALSE,"The so-called collective West does not need a strong and sovereign Russia, and will not forgive us our independent policy and standing up for our national interests. It is trying to divide our society. It’s aim is to destroy Russia.”"
FALSE,"“You go to a store, they don’t have bread.”"
MOSTLY-TRUE,The study by Rössner et al. “add[ed] further evidence for the usefulness of vaccines and their clear advantage over natural immunity”
FALSE,“It hasn’t been mandatory that any adverse events are reported” to the Vaccine Adverse Event Reporting System following COVID-19 vaccination.
MOSTLY-FALSE,“David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.”
BLATANT-LIE,“Private sources confirmed to Sputnik that 87 militants had left for Ukraine … all of the 87 used to be affiliated with Daesh [Arabic for Islamic State] before they merged into new groups.”
MOSTLY-FALSE,"Thanks to the American Rescue Plan’s changes to the Affordable Care Act, “four out of five consumers (are) finding quality coverage for under $10 a month.”"
BLATANT-LIE," The OPP And RCMP Report 2.3 Million People On Foot And Upwards To 150,000 Truckers At Anti-Vaccine Protest in Ottawa"
FALSE,Ivermectin was effective against omicron in phase 3 clinical trials.
BLATANT-LIE,A Michigan school put litter boxes in bathrooms for students who identify as cats.
BLATANT-LIE,"“(I) am proud that Senator Rubio and I were able to help secure an unprecedented $1 billion for Everglades restoration, the largest single amount ever allocated by the federal government.”"
BLATANT-LIE,Canadian Prime Minister Justin Trudeau posted a message on social media telling vaccinated Canadians to stop talking to their unvaccinated relatives.
FALSE,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.
BLATANT-LIE,only one person in the world has died from the omicron variant of coronavirus
BLATANT-LIE,Tesco’s pro-vaccine Christmas ad was removed after receiving backlash.
FALSE,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020."
FALSE,"A Hindu woman was abducted outside a court in Umerkot, Pakistan."
FALSE,Kenosha “Police were told to stand down as businesses were destroyed.”
TRUE,Ghislaine Maxwell was at Chelsea Clinton’s Wedding.
BLATANT-LIE,Image shows Donald Trump’s new Christmas card.
BLATANT-LIE,Media Approval Ratings Fell Below Congress’ As Trump Ran For President
FALSE," Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”"
FALSE,Photos of Boris Johnson receiving his Covid-19 booster vaccine do not show him being vaccinated.
MOSTLY-TRUE,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”"
FALSE, Replacing cornfields with solar panels exacerbates climate change.
MOSTLY-FALSE,“Over 800 pounds of fentanyl were seized at our Southern Border in October. This is Biden’s Border Crisis.”
BLATANT-LIE, Kyle Rittenhouse filed a defamation lawsuit against LeBron James.
FALSE, Antarctic Ice Is At A New Record Maximum in 2021.
FALSE,Md. Fayez Ahmad attacked Hindu girl in West Bengal in ‘love jihad’ case.
FALSE,Gas prices were “$1.86 when I left” the White House.
FALSE,"Gasoline is $2.10 in Russia, $0.78 in Kuwait and $0.98 in Saudi Arabia."
MOSTLY-FALSE,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. … I don’t know how to explain this other than vaccine-caused mortality.”
BLATANT-LIE,5G Millimeter Waves Causes Health Problems In Humans.
FALSE,"Symptoms of the omicron variant include “Heart failure, Arrhythmia, Heart inflammation, Blood clots, Strokes, Peripheral Nerve Damage, Multi Organ Failure,” and are actually caused by COVID-19 vaccines."
FALSE,"Images show weapons seized in Debre Sina, Ethiopia."
BLATANT-LIE,The COVID-19 vaccine is the “deadliest vaccine ever made.”
BLATANT-LIE,Ivanka Trump Is Joining The Democrats To Run Against Her Dad.
FALSE,"“Americans on average have about $100 more in their pockets each month than they did last year, after accounting for inflation.”"
BLATANT-LIE,A post shared on Facebook claims the omicron COVID-19 variant is named after a military code.
BLATANT-LIE,"Former President George W. Bush Was Arrested On Veterans Day, Denied Tribunal Extension."
FALSE,"“As far as African countries are concerned, it is only Nigeria that has been taken off the impunity index.”"
BLATANT-LIE,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”"
FALSE,"“In Germany, a fence separates vaccinated and unvaccinated people. The biggest symptom of COVID is insanity”"
FALSE,"“The toxicity of COVID-Omicron is 5 times higher than that of the Delta variant, and the mortality rate is also higher than that of Delta.”"
BLATANT-LIE,Pilot Deaths Up 1700% after Vax Mandates.
BLATANT-LIE,Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”
FALSE,Video shows the atrocities faced by minorities in Kashmir.
FALSE,“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden’s margin of victory.”
BLATANT-LIE,Mike Lindell Gives Closed-Door Testimonies Against Trump.
FALSE, Only 4 states still had mask mandates as of Nov. 30.
BLATANT-LIE, Japan Endorsed Ivermectin As COVID-19 Treatment To Send Cases Plummeting.
FALSE,Miscarriage is among the ‘tragic side effects’ of mRNA vaccines
FALSE,More than a thousand new coal plants are being built around the world while Australia plans to shut down its remaining facilities.
BLATANT-LIE,“I’ve been against that war in Afghanistan from the very beginning.”
BLATANT-LIE,the image shows what scientists have predicted Earth “will look like in 20 years from space if we don’t reverse climate change” 
FALSE,"“2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women”"
FALSE,Dr. Fauci Admits That Covid Vaccines May Actually Make People ‘Worse’
BLATANT-LIE,the World Economic Forum (WEF) reported about the omicron variant back in July.
FALSE,Billboard shows New Zealand Prime Minister Jacinda Ardern telling Kiwis to get booster shot to get up to six months worth of freedoms.
BLATANT-LIE,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.
BLATANT-LIE,"Nancy Pelosi rejected Donald Trump’s request for 10,000 National Guard troops to be deployed before Jan. 6."
MOSTLY-TRUE,“Overdoses in Virginia (are) up 35%.”
NO-EVIDENCE,"45,000 people died from COVID-19 vaccines."
BLATANT-LIE,The COVID-19 vaccines cause AIDS.
MOSTLY-TRUE,The percentage of the UK population who have received a booster vaccine is double that of the EU.
BLATANT-LIE,“Boy passes Joe Biden a vial of fresh blood to drink on his way back to the White House.”
BLATANT-LIE,A probe found more ‘illegal votes’ in Wisconsin than Biden’s victory margin
NO-EVIDENCE,A preprint of an ivermectin study in the Brazilian city of Itajaí found that prophylactic ivermectin reduced COVID-19 hospitalization and mortality by half
MOSTLY-TRUE,"“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”"
BLATANT-LIE,The Salvation Army Mandated Critical Race Theory Training.
FALSE,It’s a myth that autism is genetic.
BLATANT-LIE,"60,000 scientists call for an end to mass vaccination."
FALSE,An abstract published in an American Heart Association journal is “Proof the Covid Jab is Murder.”
TRUE,Jimmy Carter Stopped a Nuclear Reactor From Destroying Ottawa
BLATANT-LIE, “Sweden obliterates the lie of ‘vaccines’ as ticket to ending pandemic” mass vaccination create vaccine-mediated viral enhancement
FALSE,Malaysian police investigating ‘slash and grab’ robberies using business-card knives
MOSTLY-FALSE,"The expanded child tax credit in the Build Back Better Act has “no means testing,” so people making $200,000 and $400,000 would get “the same as someone making” $70,000."
BLATANT-LIE, mRNA vaccines force “your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs”; “there is no benefit for your children or your family to be vaccinating your children”
FALSE,“Maybe they’re just calling the common cold … the omicron variant.”
FALSE, claims that the Federal Emergency Management System (FEMA) arrived in Kentucky to provide relief to tornado-struck areas with more vaccines than other supplies.
BLATANT-LIE," COVID Vaccine Spike Proteins Do Enter Cell Nuclei, Suppress DNA Repair, Or Unleash Cancer, Immunodeficiency, Autoimmune Disorders Or Accelerated Aging"
MOSTLY-TRUE,"100,000 people in Scotland currently suffering from long Covid"
FALSE,Santa Claus was arrested by German police for not wearing a mask at a market.
BLATANT-LIE, CDC Admits Vaccinated Parents Are Killing Unvaccinated Kids
BLATANT-LIE, “They’ve now killed close to twice as many kids from the vaccine as have died from COVID.”
TRUE, Marjorie Taylor Greene Owns Stock in Three Vaccine Manufacturers
BLATANT-LIE,Vice President Kamala Harris tweeting that Kyle Rittenhouse created a specific Instagram account and that people should not follow it
FALSE,“The Budapest Memorandum concerns security guarantees for Ukraine as a non-nuclear state … [A]ll guarantees have been provided and observed.”
FALSE,"“I represent more, or just as many or more, people than Joe Manchin does.”"
BLATANT-LIE,"An image shared on Facebook purportedly shows a poster created by the World Health Organization that says, “We’re in this forever.”"
BLATANT-LIE,Hydroxychloroquine Does Decalcify The Pineal Gland.
FALSE,"“Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.”"
BLATANT-LIE,a “game-changing study” showed that “COVID vaccines [were] more dangerous than the virus itself”; “children aged 12 to 17 are more likely to be hospitalized for myocarditis than for COVID.”
FALSE,People with “natural immunity” from COVID-19 due to prior infection cannot catch the virus again.
BLATANT-LIE," Team of 1,000 lawyers And 10,000 Medical Experts Did Not Start Nuremberg 2 Trial against World Leaders for Crimes Against Humanity"
BLATANT-LIE,People in their 20s have a “7 times higher risk of death after vaccination than from COVID”
BLATANT-LIE,the image shows the White House website saying President Joe Biden’s winter plan to fight COVID-19 includes putting Americans into quarantine centers
FALSE,Photo shows Prime Minister Narendra Modi touched the feet of IAS officer Arti Dogra.
FALSE,"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”"
BLATANT-LIE,Site Selling Discounted Stamps Is Official United States Postal Service.
BLATANT-LIE,"Ocasio-Cortez tweeted she got COVID-19 because of climate change, racism."
MOSTLY-TRUE,"“We’ve brought in more than $81 billion in economic investment, more than four times any previous administration.”"
FALSE,"“The Wisconsin voter roll has over 120,000 active voters who have been registered to vote for over 100 years.”"
BLATANT-LIE,CDC Will Begin To Provide Data On How Many US Deaths Are ‘from’ COVID And How Many Are ‘with’ COVID.
TRUE,An image shows a flyer of an After School Satan Club.
BLATANT-LIE, U.S. Supreme Court Justice Neil Gorsuch said the flu kills “hundreds of thousands of people every year.”
FALSE,"A law authored by opposition vice presidential candidate Francis “Kiko” Pangilinan allows minors to go scot-free even after committing crimes such as robbery with murder, rape with murder, and rape."
FALSE,mRNA COVID-19 are harmful for children.
BLATANT-LIE,Switzerland is the first country to approve “suicide chamber.”
BLATANT-LIE,Washington University School of Medicine study found that COVID-19 infection confers protection for life.
FALSE, Omicron Variant Of Covid-19 Is Spreading Faster Than Any Other Virus In History.
FALSE, purportedly shows Canadian Prime Minister Justin Trudeau stating that he was going to limit human rights.
FALSE,"President Joe Biden recently faked a visit to a children’s hospital in Washington, D.C"
BLATANT-LIE,Vaccines Cause Brain Damage
BLATANT-LIE,purportedly shows a man who died two weeks after stating that he had an affair with former President Barack Obama.
FALSE,We Can ‘Eat Our Way Out Of This Pandemic’ By Eating Leeks.
FALSE,It Is ‘Odd’ That The COVID-19 Vaccine Was Developed So Quickly.
FALSE,Congress party spokesman calls PM Modi a hero.
FALSE,“Anderson Cooper floating the idea of withholding SS from the unvaxxed. Hope you enjoy what you voted for commies.”
BLATANT-LIE,Pfizer CEO Bourla talking about the microchip that will be in medications.  Sounds normal right?? Just a conspiracy theory?
TRUE,COVID Testing has declined under Joe Biden.
BLATANT-LIE,COVID-19 vaccine caused football player Donald Parham Jr.’s heart to explode.
FALSE,Dark colors on at home test strip shows COVID is in the water
FALSE,Shah Jahan Chopped Off Hands Of Workers Who Built Taj Mahal
FALSE,Biden said he wanted to resume building Trump’s wall.
BLATANT-LIE,"Jen Psaki said, ‘If you don’t buy anything, you won’t experience inflation’"
TRUE, NASA provided $1.1 million in funding to a religious organization to study how humans may react to life beyond Earth.
BLATANT-LIE,Covid-19 cases in 2020 were actually the flu.
FALSE, Covid-19 patient in hospital video is a crisis actor.
FALSE,Images show roads in the Democratic Republic of the Congo before and after a project with Uganda.
FALSE,Vaccinated People Are More Likely To Be Infected Than Those Without The Shot
BLATANT-LIE,flu cases being instead counted as COVID-19 cases was the reason for low flu activity during the 2020-2021 flu season.
TRUE,"Guidelines published by the IRS ahead of the 2022 tax year explained how taxpayers can claim items they have stolen, or earnings from illegal activities."
BLATANT-LIE,a book about the omicron variant was published by White House chief medical adviser Dr. Anthony Fauci’s sister named Dr. Angelique Fauci.
FALSE,British chef Jamie Oliver wins “legal battle” against McDonald’s over “pink slime”
FALSE, “Trump cut Social Security benefits by over $3 billion.”
BLATANT-LIE,“CDC admits that COVID tests are invalid.”
BLATANT-LIE,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.
BLATANT-LIE," On Dec. 28, 2021, three days before her death, Betty White said “Eat healthy and get all your vaccines. I just got boosted today.”"
BLATANT-LIE,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”
FALSE,Video shows kidnapper caught while trying to kidnap a toddler inside travel bag.
MOSTLY-FALSE,"“By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.”"
BLATANT-LIE,Can hydroxychloroquine be made at home by boiling grapefruit and lemon peels in water?
MOSTLY-FALSE,"Actions by Joe Biden left “10,000 – 15,000 American citizens abandoned to terrorists in Afghanistan.”"
BLATANT-LIE, Amazon launched a presale of a new Amazon Token cryptocurrency.
FALSE,Vaccines are why flights have been shut down worldwide.
FALSE,Samajwadi Party chief Mulayam Singh Yadav has said recently that he feels the BJP might come to power in UP.
MOSTLY-FALSE,“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.
BLATANT-LIE,"Dr. Fauci is a lying prick. The CDC, FDA and US government are criminal anti-American devilgangs. It’s not a vaccine its a deadly xperimental shot."
BLATANT-LIE,“Jan. 6 was NOT an insurrection…but Nov. 4 at 3 a.m. was!”
FALSE,"“JUST IN – Robert Koch Institute report released today states that 95.58% of the #Omicron cases in Germany are fully vaccinated (28% of those had a “booster”), 4.42% are unvaccinated.”"
FALSE,The Commission on Elections second division has dismissed the disqualification petition against presidential aspirant Bongbong Marcos
BLATANT-LIE,Fox News reported that Trump “vowed to pardon Ghislaine Maxwell if he wins in 2024.”
FALSE,Tylenol “ruins your ability to kill” COVID-19.
TRUE, The 
FALSE,President Joe Biden “never had a” COVID-19 “plan.”
FALSE,Kris Aquino stole the jewelry of Imelda Marcos
BLATANT-LIE,"When children are given vaccines for COVID-19, “a viral gene will be injected into your children’s cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.”"
BLATANT-LIE,“flurona” a new cross-breed virus resulting from combination of the SARS-CoV-2 virus and seasonal influenza.
FALSE,Dr. Fauci gains profits from pharmaceutical companies.
TRUE,"Former U.S. Vice President Mike Pence warned on Jan. 6, 2021, that pro-Trump rioters would be “prosecuted to the fullest extent of the law.”"
FALSE,"“Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence.’”"
FALSE,Narendra Modi government’s Cabinet Committee on Security called for the removal of Sikhs from the Indian Army.
FALSE,"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus."
BLATANT-LIE,"“mass formation psychosis” is a phenomenon that occurred in 1920s and 30s Germany when a highly educated population “went barking mad, and that is what’s happened here,” he said, referring to the COVID-19 pandemic"
FALSE,“No one has been hospitalized for” the omicron variant of COVID-19.”
FALSE, only 56 people die per day from COVID-19.
FALSE, “Data from around the world suggests that omicron favors the fully vaccinated.”
FALSE,The Premier of Western Australia faked getting the third dose of the COVID-19 vaccine.
FALSE,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.
BLATANT-LIE,Claims former South Carolina Rep. Trey Gowdy alleged the 2020 election was rigged through “treasonous acts.”
FALSE, Pfizer made $37 billion in profit in its last quarter.
FALSE,“1 million COVID-vaccine injuries now reported on CDC’s database.”
FALSE,Photo of huge crowd at Kenyan deputy president’s rally
MOSTLY-TRUE,"“Expanding Medicaid, which if we had done at the beginning of the Abbott administration, would have brought in $100 billion to this state’s economy.”"
BLATANT-LIE, Booster COVID-19 vaccine doses can “shut down the immune response”; heart damage following vaccination is “quite frequent”; “many of these [SARS-CoV-2] mutations are being driven by the evolutionary selection caused by the vaccines”
FALSE,"Recently released Jan. 6 footage shows “these cops using massive amounts of force against unarmed Trump supporters, including women.”"
FALSE,COVID-19 tests that are labeled “positive control swab” and “negative control swab” manipulated to deliver predetermined results.
FALSE,President Joe Biden “has the lowest approval rating of any president ever.”
FALSE,Face masks increase the risks of respiratory diseases.
TRUE,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”"

